message,compound,neg,neu,pos
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",0.6249,0.0,0.806,0.194
Ok lar... Joking wif u oni...,0.4767,0.0,0.423,0.577
U dun say so early hor... U c already then say...,0.0,0.0,1.0,0.0
"Nah I don't think he goes to usf, he lives around here though",-0.1027,0.113,0.887,0.0
Even my brother is not like to speak with me. They treat me like aids patent.,-0.1331,0.212,0.653,0.136
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0.4767,0.0,0.89,0.11
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",-0.4257,0.175,0.825,0.0
I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,0.9143,0.05,0.597,0.354
I HAVE A DATE ON SUNDAY WITH WILL!!,0.0,0.0,1.0,0.0
Oh k...i'm watching here:),0.0,0.0,1.0,0.0
Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,0.4019,0.0,0.816,0.184
Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,0.2023,0.0,0.847,0.153
Is that seriously how you spell his name?,-0.1779,0.195,0.805,0.0
IÛ÷m going to try for 2 months ha ha only joking,0.6908,0.0,0.511,0.489
So Ì_ pay first lar... Then when is da stock comin...,-0.1725,0.144,0.856,0.0
Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,0.0,0.0,1.0,0.0
Ffffffffff. Alright no way I can meet up with you sooner?,-0.0516,0.18,0.656,0.164
Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,-0.802,0.316,0.603,0.08
Lol your always so convincing.,0.7424,0.0,0.323,0.677
Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,0.7319,0.0,0.834,0.166
"I'm back &amp; we're packing the car now, I'll let you know if there's room",0.0,0.0,1.0,0.0
Ahhh. Work. I vaguely remember that! What does it feel like? Lol,0.68,0.0,0.617,0.383
